PatientID	Preprocessing step	Dataset	NN-Architecture (nn-Unet, UNETR)	Epoch	Label (WT, ET, TC, GTV)	Dice	Hausdorff	Surface Dice 1mm
1029_18_4	1_reg	bgpd	nn_unet	100	WT	0.743	7.592	0.344
1036_18	1_reg	bgpd	nn_unet	100	WT	0.679	194.339	0.263
1159_18_4	1_reg	bgpd	nn_unet	100	WT	0.751	187.59	0.262
1184_18	1_reg	bgpd	nn_unet	100	WT	0.485	157.896	0.292
1216_18	1_reg	bgpd	nn_unet	100	WT	0.005	39.137	0.066
1254_18	1_reg	bgpd	nn_unet	100	WT	0.03	58.334	0.121
1257_18	1_reg	bgpd	nn_unet	100	WT	0.51	166.806	0.18
1258_18	1_reg	bgpd	nn_unet	100	WT	0.898	3	0.343
1326_18	1_reg	bgpd	nn_unet	100	WT	0.462	28.022	0.098
1360_18	1_reg	bgpd	nn_unet	100	WT	0.8	11.881	0.262
1484_18_4	1_reg	bgpd	nn_unet	100	WT	0.312	55.563	0.101
1515_18_4	1_reg	bgpd	nn_unet	100	WT	0.184	57.683	0.214
1566_18	1_reg	bgpd	nn_unet	100	WT	0.085	25.922	0.072
1573_18_4	1_reg	bgpd	nn_unet	100	WT	0.085	48.038	0.125
1646_18	1_reg	bgpd	nn_unet	100	WT	0.14	92.973	0.095
1744_18	1_reg	bgpd	nn_unet	100	WT	0.762	11.245	0.235
1765_18_4	1_reg	bgpd	nn_unet	100	WT	0.812	6.606	0.354
1769_18	1_reg	bgpd	nn_unet	100	WT	0.853	4.141	0.467
1781_18	1_reg	bgpd	nn_unet	100	WT	0.865	68.956	0.558
1788_18_4	1_reg	bgpd	nn_unet	100	WT	0.176	34.613	0.047
1795_18_	1_reg	bgpd	nn_unet	100	WT	0.655	14.372	0.454
423_18	1_reg	bgpd	nn_unet	100	WT	0.76	7.28	0.289
607_18	1_reg	bgpd	nn_unet	100	WT	0.849	6.53	0.568
608_18_4	1_reg	bgpd	nn_unet	100	WT	0.72	10.587	0.345
660_18_4	1_reg	bgpd	nn_unet	100	WT	0.794	7.911	0.253
672_18_4	1_reg	bgpd	nn_unet	100	WT	0.425	107.418	0.178
788_18	1_reg	bgpd	nn_unet	100	WT	0.92	2.599	0.652
